AuthorName,BooksName,Links
"Dickens, Charles",L'abîme,https://www.gutenberg.org/ebooks/18059
"Dickens, Charles",All the Year Round,https://www.gutenberg.org/ebooks/9691
"Dickens, Charles",American Notes,https://www.gutenberg.org/ebooks/675
"Dickens, Charles","Aventures de Monsieur Pickwick, Vol. I",https://www.gutenberg.org/ebooks/13771
"Dickens, Charles","Aventures de Monsieur Pickwick, Vol. II",https://www.gutenberg.org/ebooks/14789
"Dickens, Charles",De avonturen van Oliver Twist,https://www.gutenberg.org/ebooks/37093
"Dickens, Charles",Bardell v. Pickwick,https://www.gutenberg.org/ebooks/25985
"Dickens, Charles","Barnabé Rudge, Tome I",https://www.gutenberg.org/ebooks/17879
"Dickens, Charles","Barnabé Rudge, Tome II",https://www.gutenberg.org/ebooks/17880
"Dickens, Charles",Barnaby Rudge,https://www.gutenberg.org/ebooks/9732
"Dickens, Charles",Barnaby Rudge: A Tale of the Riots of 'Eighty,https://www.gutenberg.org/ebooks/917
"Dickens, Charles",La Batalo de l' Vivo,https://www.gutenberg.org/ebooks/24501
"Dickens, Charles",The Battle of Life,https://www.gutenberg.org/ebooks/676
"Dickens, Charles",The Battle of Life: A Love Story,https://www.gutenberg.org/ebooks/40723
"Dickens, Charles","Bentley's Miscellany, Volume I",https://www.gutenberg.org/ebooks/44578
"Dickens, Charles","Bentley's Miscellany, Volume II",https://www.gutenberg.org/ebooks/46804
"Dickens, Charles",Bleak House,https://www.gutenberg.org/ebooks/1023
"Dickens, Charles",A Budget of Christmas Tales by Charles Dickens and Others,https://www.gutenberg.org/ebooks/28198
"Dickens, Charles",Cantique de Noël,https://www.gutenberg.org/ebooks/16021
"Dickens, Charles","Captain Boldheart & the Latin-Grammar Master
A Holiday Romance from the Pen of Lieut-Col. Robin Redforth, aged 9",https://www.gutenberg.org/ebooks/23765
"Dickens, Charles",Charles Dickens' Children Stories,https://www.gutenberg.org/ebooks/37121
"Dickens, Charles",A Child's Dream of a Star,https://www.gutenberg.org/ebooks/42232
"Dickens, Charles",A Child's History of England,https://www.gutenberg.org/ebooks/699
"Dickens, Charles","The Chimes
A Goblin Story of Some Bells That Rang an Old Year out and a New Year In",https://www.gutenberg.org/ebooks/9738
"Dickens, Charles",A Christmas Carol,https://www.gutenberg.org/ebooks/19505
"Dickens, Charles",A Christmas Carol in Prose; Being a Ghost Story of Christmas,https://www.gutenberg.org/ebooks/46
"Dickens, Charles","A Christmas Carol; Or, The Miser's Warning!
(Adapted from Charles Dickens' Celebrated Work.)",https://www.gutenberg.org/ebooks/41739
"Dickens, Charles","A Christmas Carol
The original manuscript",https://www.gutenberg.org/ebooks/30368
"Dickens, Charles",Christmas-Tide,https://www.gutenberg.org/ebooks/41894
"Dickens, Charles",Les conteurs à la ronde,https://www.gutenberg.org/ebooks/16022
"Dickens, Charles",Contributions to All The Year Round,https://www.gutenberg.org/ebooks/1464
"Dickens, Charles",Cricket on the Hearth,https://www.gutenberg.org/ebooks/9739
"Dickens, Charles",The Cricket on the Hearth,https://www.gutenberg.org/ebooks/20795
"Dickens, Charles",The Cricket on the Hearth: A Fairy Tale of Home,https://www.gutenberg.org/ebooks/37581
"Dickens, Charles",Cruikshank's Water Colours,https://www.gutenberg.org/ebooks/49683
"Dickens, Charles",David Copperfield,https://www.gutenberg.org/ebooks/9744
"Dickens, Charles","David Copperfield I
David Copperfield nuoremman elämäkertomus ja kokemukset",https://www.gutenberg.org/ebooks/18186
"Dickens, Charles","David Copperfield II
David Copperfield nuoremman elämäkerta ja kokemukset",https://www.gutenberg.org/ebooks/18201
"Dickens, Charles",David Copperfield - Tome I,https://www.gutenberg.org/ebooks/17868
"Dickens, Charles",David Copperfield - Tome II,https://www.gutenberg.org/ebooks/17869
"Dickens, Charles",Dickens's Children: Ten Drawings,https://www.gutenberg.org/ebooks/32372
"Dickens, Charles",Dickens' Stories About Children Every Child Can Read,https://www.gutenberg.org/ebooks/32241
"Dickens, Charles",Doctor Marigold,https://www.gutenberg.org/ebooks/9704
"Dickens, Charles",Dombey and Son,https://www.gutenberg.org/ebooks/9703
"Dickens, Charles",Elämän taistelu,https://www.gutenberg.org/ebooks/50164
"Dickens, Charles",The Footpath Way: An Anthology for Walkers,https://www.gutenberg.org/ebooks/59813
"Dickens, Charles",George Silverman's Explanation,https://www.gutenberg.org/ebooks/810
"Dickens, Charles",Going into Society,https://www.gutenberg.org/ebooks/9707
"Dickens, Charles",Les grandes espérances,https://www.gutenberg.org/ebooks/17565
"Dickens, Charles","The Great English Short-Story Writers, Volume 1",https://www.gutenberg.org/ebooks/10135
"Dickens, Charles",Great Expectations,https://www.gutenberg.org/ebooks/8608
"Dickens, Charles",Le grillon du foyer,https://www.gutenberg.org/ebooks/16020
"Dickens, Charles",Hard Times,https://www.gutenberg.org/ebooks/9709
"Dickens, Charles",The Haunted Man and the Ghost's Bargain,https://www.gutenberg.org/ebooks/644
"Dickens, Charles",Una historia de dos ciudades,https://www.gutenberg.org/ebooks/61887
"Dickens, Charles",Holiday Romance,https://www.gutenberg.org/ebooks/9710
"Dickens, Charles",The Holly-Tree,https://www.gutenberg.org/ebooks/1394
"Dickens, Charles",A House to Let,https://www.gutenberg.org/ebooks/9714
"Dickens, Charles",Hunted Down,https://www.gutenberg.org/ebooks/9712
"Dickens, Charles",Hunted Down: The Detective Stories of Charles Dickens,https://www.gutenberg.org/ebooks/807
"Dickens, Charles","Ilman menestyksettä
Joulukertomus",https://www.gutenberg.org/ebooks/19934
"Dickens, Charles",Index of the Project Gutenberg Works of Charles Dickens,https://www.gutenberg.org/ebooks/58157
"Dickens, Charles",Joulun-aatto,https://www.gutenberg.org/ebooks/24026
"Dickens, Charles",Kaksi kaupunkia,https://www.gutenberg.org/ebooks/48023
"Dickens, Charles",Een Kerstlied in Proza,https://www.gutenberg.org/ebooks/28560
"Dickens, Charles",Kotisirkka,https://www.gutenberg.org/ebooks/44899
"Dickens, Charles",Los Ladrones de Londres,https://www.gutenberg.org/ebooks/62201
"Dickens, Charles",The Lamplighter,https://www.gutenberg.org/ebooks/9716
"Dickens, Charles",The Lazy Tour of Two Idle Apprentices,https://www.gutenberg.org/ebooks/888
"Dickens, Charles",Legends and Lyrics. Part 1,https://www.gutenberg.org/ebooks/2303
"Dickens, Charles","The Letters of Charles Dickens. Vol. 1, 1833-1856",https://www.gutenberg.org/ebooks/25852
"Dickens, Charles","The Letters of Charles Dickens. Vol. 2, 1857-1870",https://www.gutenberg.org/ebooks/25853
"Dickens, Charles","The Letters of Charles Dickens. Vol. 3, 1836-1870",https://www.gutenberg.org/ebooks/25854
"Dickens, Charles",Het leven en de lotgevallen van David Copperfield,https://www.gutenberg.org/ebooks/47933
"Dickens, Charles",Little Dorrit,https://www.gutenberg.org/ebooks/963
"Doyle, Arthur Conan",The Adventure of the Bruce-Partington Plans,https://www.gutenberg.org/ebooks/2346
"Doyle, Arthur Conan",The Adventure of the Cardboard Box,https://www.gutenberg.org/ebooks/2344
"Doyle, Arthur Conan",The Adventure of the Devil's Foot,https://www.gutenberg.org/ebooks/8633
"Doyle, Arthur Conan",The Adventure of the Dying Detective,https://www.gutenberg.org/ebooks/2347
"Doyle, Arthur Conan",The Adventure of the Red Circle,https://www.gutenberg.org/ebooks/8628
"Doyle, Arthur Conan",The Adventure of Wisteria Lodge,https://www.gutenberg.org/ebooks/8626
"Doyle, Arthur Conan",The Adventures of Gerard,https://www.gutenberg.org/ebooks/1644
"Doyle, Arthur Conan",The Adventures of Sherlock Holmes,https://www.gutenberg.org/ebooks/28733
"Doyle, Arthur Conan","Adventures of Sherlock Holmes
Illustrated",https://www.gutenberg.org/ebooks/48320
"Doyle, Arthur Conan",Baskervillen koira,https://www.gutenberg.org/ebooks/32536
"Doyle, Arthur Conan",Beyond the City,https://www.gutenberg.org/ebooks/356
"Doyle, Arthur Conan","The Cabman's Story
The Mysteries of a London 'Growler'",https://www.gutenberg.org/ebooks/17398
"Doyle, Arthur Conan","The Captain of the Polestar, and Other Tales",https://www.gutenberg.org/ebooks/8617
"Doyle, Arthur Conan","The Case for Spirit Photography
With corroborative evidence by experienced researchers and photographers",https://www.gutenberg.org/ebooks/59809
"Doyle, Arthur Conan",The Coming of the Fairies,https://www.gutenberg.org/ebooks/47506
"Doyle, Arthur Conan",The Crime of the Congo,https://www.gutenberg.org/ebooks/37712
"Doyle, Arthur Conan",The Croxley Master: A Great Tale Of The Prize Ring,https://www.gutenberg.org/ebooks/38443
"Doyle, Arthur Conan",Danger! and Other Stories,https://www.gutenberg.org/ebooks/22357
"Doyle, Arthur Conan","The Dealings of Captain Sharkey, and Other Tales of Pirates",https://www.gutenberg.org/ebooks/34627
"Doyle, Arthur Conan","A Desert Drama: Being The Tragedy Of The ""Korosko""",https://www.gutenberg.org/ebooks/21768
"Doyle, Arthur Conan",The Disappearance of Lady Frances Carfax,https://www.gutenberg.org/ebooks/8632
"Doyle, Arthur Conan",The Doings of Raffles Haw,https://www.gutenberg.org/ebooks/8394
"Doyle, Arthur Conan",De dood van Sherlock Holmes — De terugkeer van Sherlock Holmes,https://www.gutenberg.org/ebooks/29490
"Doyle, Arthur Conan","A Duet, with an Occasional Chorus",https://www.gutenberg.org/ebooks/5260
"Doyle, Arthur Conan",Enoni: muistoja Napoleonin ajoilta,https://www.gutenberg.org/ebooks/14254
"Doyle, Arthur Conan",Etienne Gerards Bedrifter,https://www.gutenberg.org/ebooks/29392
"Doyle, Arthur Conan",The Exploits of Brigadier Gerard,https://www.gutenberg.org/ebooks/11247
"Doyle, Arthur Conan",The Firm of Girdlestone,https://www.gutenberg.org/ebooks/13152
"Doyle, Arthur Conan",The German War,https://www.gutenberg.org/ebooks/42127
"Doyle, Arthur Conan",La grande ombre,https://www.gutenberg.org/ebooks/13735
"Doyle, Arthur Conan",The Great Boer War,https://www.gutenberg.org/ebooks/3069
"Doyle, Arthur Conan",The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,https://www.gutenberg.org/ebooks/32777
"Doyle, Arthur Conan",The Great Shadow and Other Napoleonic Tales,https://www.gutenberg.org/ebooks/11656
"Doyle, Arthur Conan","The Green Flag, and Other Stories of War and Sport",https://www.gutenberg.org/ebooks/10446
"Doyle, Arthur Conan","La guardia blanca
novela histórica escrita en inglés",https://www.gutenberg.org/ebooks/36453
"Doyle, Arthur Conan","The Guards Came Through, and Other Poems",https://www.gutenberg.org/ebooks/38071
"Doyle, Arthur Conan","The Gully of Bluemansdyke, and Other stories",https://www.gutenberg.org/ebooks/40848
"Doyle, Arthur Conan",His Last Bow,https://www.gutenberg.org/ebooks/9554
"Doyle, Arthur Conan",His Last Bow: An Epilogue of Sherlock Holmes,https://www.gutenberg.org/ebooks/2350
"Doyle, Arthur Conan",Le Horror Altissime,https://www.gutenberg.org/ebooks/15949
"Doyle, Arthur Conan",The Hound of the Baskervilles,https://www.gutenberg.org/ebooks/9552
"Doyle, Arthur Conan",Index of the Project Gutenberg Works of Arthur Conan Doyle,https://www.gutenberg.org/ebooks/58574
"Doyle, Arthur Conan","Jim Harrison, boxeur",https://www.gutenberg.org/ebooks/13734
"Doyle, Arthur Conan",Kadonnut maailma,https://www.gutenberg.org/ebooks/51818
"Doyle, Arthur Conan",Kadonnut pikajuna y.m. kertomuksia,https://www.gutenberg.org/ebooks/54933
"Doyle, Arthur Conan",Kauhun laakso 1: Murhenäytelmä Birlstonen kartanossa,https://www.gutenberg.org/ebooks/52677
"Doyle, Arthur Conan",Kauhun laakso 2: Salaseuralaiset,https://www.gutenberg.org/ebooks/52678
"Doyle, Arthur Conan",The Last Galley; Impressions and Tales,https://www.gutenberg.org/ebooks/8727
"Doyle, Arthur Conan",The Last of the Legions and Other Tales of Long Ago,https://www.gutenberg.org/ebooks/26153
"Doyle, Arthur Conan",The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,https://www.gutenberg.org/ebooks/2038
"Doyle, Arthur Conan",The Lost World,https://www.gutenberg.org/ebooks/139
"Doyle, Arthur Conan","The Man from Archangel, and Other Tales of Adventure",https://www.gutenberg.org/ebooks/34797
"Doyle, Arthur Conan",The Memoirs of Sherlock Holmes,https://www.gutenberg.org/ebooks/834
"Doyle, Arthur Conan","Micah Clarke
His Statement as made to his three grandchildren Joseph, Gervas and Reuben During the Hard Winter of 1734",https://www.gutenberg.org/ebooks/9504
"Doyle, Arthur Conan","Micah Clarke - Tome III
La Bataille de Sedgemoor",https://www.gutenberg.org/ebooks/18718
"Doyle, Arthur Conan","Micah Clarke - Tome II
Le Capitaine Micah Clarke",https://www.gutenberg.org/ebooks/18717
"Doyle, Arthur Conan","Micah Clarke - Tome I
Les recrues de Monmouth",https://www.gutenberg.org/ebooks/18716
"Doyle, Arthur Conan",My Friend The Murderer,https://www.gutenberg.org/ebooks/23059
"Doyle, Arthur Conan",Myrkkyvyöhyke,https://www.gutenberg.org/ebooks/54158
"Doyle, Arthur Conan",The Mystery of Cloomber,https://www.gutenberg.org/ebooks/7964
"Doyle, Arthur Conan",Nahkaratti,https://www.gutenberg.org/ebooks/56573
"Doyle, Arthur Conan",Napoleonin sotilaan seikkailut,https://www.gutenberg.org/ebooks/49584
"Doyle, Arthur Conan",Neljän merkit,https://www.gutenberg.org/ebooks/52099
"Doyle, Arthur Conan",The New Revelation,https://www.gutenberg.org/ebooks/8622
"Doyle, Arthur Conan",Nouveaux mystères et aventures,https://www.gutenberg.org/ebooks/13795
"Doyle, Arthur Conan",The Parasite,https://www.gutenberg.org/ebooks/8618
"Doyle, Arthur Conan",The Parasite: A Story,https://www.gutenberg.org/ebooks/355
"Doyle, Arthur Conan",The Poison Belt,https://www.gutenberg.org/ebooks/8613
"Doyle, Arthur Conan","The Refugees
A Tale of Two Continents",https://www.gutenberg.org/ebooks/11413
"Doyle, Arthur Conan",The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/221
"Doyle, Arthur Conan",Rodney Stone,https://www.gutenberg.org/ebooks/36050
"Doyle, Arthur Conan",Round the Fire Stories,https://www.gutenberg.org/ebooks/54109
"Doyle, Arthur Conan",Round the Red Lamp,https://www.gutenberg.org/ebooks/8619
